"07459: Befolkning, etter År og statistikkvariabel"

"År";"Personer"
"1990";4233116
"1991";4249830
"1992";4273634
"1993";4299167
"1994";4324815
"1995";4348410
"1996";4369957
"1997";4392714
"1998";4417599
"1999";4445329
"2000";4478497
"2001";4503436
"2002";4524066
"2003";4552252
"2004";4577457
"2005";4606363
"2006";4640219
"2007";4681134
"2008";4737171
"2009";4799252
"2010";4858199
"2011";4920305
"2012";4985870
"2013";5051275
"2014";5109056
"2015";5165802
"2016";5213985
"2017";5258317
"2018";5295619
"2019";5328212
"2020";5367580
"2021";5391369
"2022";5425270
"2023";5488984
