"År"	"Fødselstall"	"Innflyttinger"	"Utflyttinger"
"1945"	61814	..	..
"1946"	70727	..	973
"1947"	67625	..	1477
"1948"	65618	..	2398
"1949"	63052	..	2669
"1950"	62410	..	2295
"1951"	60571	6046	10172
"1952"	62543	5967	7803
"1953"	62985	6454	7529
"1954"	62739	6005	7295
"1955"	63552	7089	8728
"1956"	64171	8092	10156
"1957"	63063	12263	12599
"1958"	62985	10161	11266
"1959"	63005	10586	11807
"1960"	61880	13536	18681
"1961"	62555	11426	10610
"1962"	62254	12778	12534
"1963"	63290	11983	11364
"1964"	65570	12406	14264
"1965"	66277	12148	14021
"1966"	67061	12446	13391
"1967"	66779	15379	13022
"1968"	67350	15350	13644
"1969"	67746	15641	13526
"1970"	64551	17383	18352
"1971"	65550	19297	12682
"1972"	64260	18388	13965
"1973"	61208	17383	13939
"1974"	59603	19209	14287
"1975"	56345	19551	14782
"1976"	53474	18955	14066
"1977"	50877	19403	14369
"1978"	51749	18825	14851
"1979"	51580	17831	15085
"1980"	51039	18776	14705
"1981"	50708	19698	14522
"1982"	51245	20468	14728
"1983"	49937	20063	15778
"1984"	50274	19688	15927
"1985"	51134	21858	15630
"1986"	52514	24196	16745
"1987"	54027	31149	17380
"1988"	57526	29964	19821
"1989"	59303	25847	27300
"1990"	60939	25494	23784
"1991"	60808	26283	18238
"1992"	60109	26743	16801
"1993"	59678	31711	18903
"1994"	60092	26911	19475
"1995"	60292	25678	19312
"1996"	60927	26407	20590
"1997"	59801	31957	21257
"1998"	58352	36704	22881
"1999"	59298	41841	22842
"2000"	59234	36542	26854
"2001"	56696	34264	26309
"2002"	55434	40122	22948
"2003"	56458	35957	24672
"2004"	56951	36482	23271
"2005"	56756	40148	21709
"2006"	58545	45776	22053
"2007"	58459	61774	22122
"2008"	60497	66961	23615
"2009"	61807	65186	26549
"2010"	61442	73852	31506
"2011"	60220	79498	32466
"2012"	60255	78570	31227
"2013"	58995	75789	35716
"2014"	59084	70030	31875
"2015"	59058	67276	37474
"2016"	58890	66800	40724
"2017"	56633	58192	36843
"2018"	55120	52485	34382
"2019"	54495	52153	26826
"2020"	52979	38071	26744
"2021"	56060	53947	34297
"2022"	51480	90475	32536
"2023"	51980	86589	34011
"2024"	..	..	..
